Product ID*;Product reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Price tax excluded or Price tax included;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
53638;;Couleur:select:0;H=d'oré / V=Rouge:24;BH10-LH127;BH10-LH127;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH127_0.jpg;1;;;;
53638;;Couleur:select:0;H=d'oré / V=Anthrazit:19;BH10-LH129;BH10-LH129;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH129_0.jpg;1;;;;
53638;;Couleur:select:0;H=Bleu / V=Argent:14;BH10-LH141;BH10-LH141;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH141_0.jpg;1;;;;
53638;;Couleur:select:0;H=Bleu / V=d'oré:16;BH10-LH142;BH10-LH142;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH142_0.jpg;1;;;;
53638;;Couleur:select:0;H=Bleu / V=Bleu:15;BH10-LH144;BH10-LH144;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH144_0.jpg;1;;;;
53638;;Couleur:select:0;H=Bleu / V=Noir:17;BH10-LH145;BH10-LH145;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH145_0.jpg;1;;;;
53638;;Couleur:select:0;H=Bleu / V=Rouge:18;BH10-LH147;BH10-LH147;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH147_0.jpg;1;;;;
53638;;Couleur:select:0;H=Bleu / V=Anthrazit:13;BH10-LH149;BH10-LH149;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH149_0.jpg;1;;;;
53638;;Couleur:select:0;H=Noir / V=d'oré:28;BH10-LH152;BH10-LH152;;;137.97;96.579;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH152_0.jpg;1;;;;
53638;;Couleur:select:0;H=Noir / V=Bleu:27;BH10-LH154;BH10-LH154;;;137.96;96.572;;;0;1;0;0;2015-02-26;1;https://www.motogoodeal.ch/img/import/BH10-LH154_0.jpg;1;;;;
