id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
43521;;Belstaff Ago'S Leap Waxed Cordura Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Dark Navy;<ul><li>Handgewachstes Cordura 500</li><li>Miporex® Membrane</li><li>versiegelte Nähte</li><li>D3O Arm- und Schulterprotektoren austrennbar</li><li>Rückenprotektor nachrüstbar</li><li>metallverstärkte</li><li>Belüftungsschlitze</li><li>verstellbarer Halsriemen</li><li>verstellbare Riemen an der Taille</li><li>Kord an Innenhals und Abschluss Innenärmel</li><li>4 Aussentaschen</li><li>1 Innentasche</li><li>Optional: Innenfutter Lambfell Gilet 41080503-900-</li><li>Obermaterial: 100% Cordura 500</li><li>Futter: 100% Baumwolle</li><li>Farbe: Dark Navy</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43522;;Belstaff Ago'S Leap Waxed Cordura Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Black;;;;;;;;;;;;;;;;;;;;;;;;;
43523;;Belstaff Ago'S Leap Resin Cotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil British Racing Green;;;;;;;;;;;;;;;;;;;;;;;;;
43524;;Belstaff Ago'S Leap Resin Cotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Denim Blue;;;;;;;;;;;;;;;;;;;;;;;;;
43525;;Belstaff Ago'S Leap Resin Cotton Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Elephant Grey;;;;;;;;;;;;;;;;;;;;;;;;;
43526;;Belstaff Long Eaton Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Burnt Sienna / Off White;;;;;;;;;;;;;;;;;;;;;;;;;
43527;;Belstaff Long Eaton Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Black / Off White;;;;;;;;;;;;;;;;;;;;;;;;;
43528;;Belstaff Kerrowmoar Rubberized Fleece Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Denim Blue;;;;;;;;;;;;;;;;;;;;;;;;;
43529;;Belstaff Kerrowmoar Rubberized Fleece Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Black;;;;;;;;;;;;;;;;;;;;;;;;;
43530;;Belstaff Donington Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Black / White Bands;<ul><li>BULL GRAIN LEATHER</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43531;;Belstaff Donington Jacke ;;;;;;;;;;;;;;;;;;;;;;;;;;;Leder Black / Black Bands;<ul><li>BULL GRAIN LEATHER</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43532;;Belstaff Tatts Corner Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Navy;<ul><li>STONE WASHED NYLON</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43533;;Belstaff Tatts Corner Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Schwarz;<ul><li>STONE WASHED NYLON</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43534;;Belstaff Sulby Straight Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Racing Red ;<ul><li>Aus charakteristischer</li><li>gewachster 8-Unzen-Baumwolle</li><li>mit Miropex-Membrane und versiegelten Nähten</li><li>herausnehmbarem Steppfutter mit Micro-Valtherm-Wattierung</li><li>Arm- und Schulterprotektoren gemäss europäischen CE-Sicherheitsstandards</li><li>mit Tasche für Rückenprotektor</li><li>metallverstärkte Belüftungsschlitze unter den Armen</li><li>verstellbarer Halsriemen</li><li>verstellbarer Riemen am Bund</li><li>Abdeckung Gürtelschnalle mit Stickerei</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43535;;Belstaff Sulby Straight Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Textil Racing Red ;<ul><li>Aus charakteristischer</li><li>gewachster 8-Unzen-Baumwolle</li><li>mit Miropex-Membrane und versiegelten Nähten</li><li>herausnehmbarem Steppfutter mit Micro-Valtherm-Wattierung</li><li>Arm- und Schulterprotektoren gemäss europäischen CE-Sicherheitsstandards</li><li>mit Tasche für Rückenprotektor</li><li>metallverstärkte Belüftungsschlitze unter den Armen</li><li>verstellbarer Halsriemen</li><li>verstellbarer Riemen am Bund</li><li>Abdeckung Gürtelschnalle mit Stickerei</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
43536;;Belstaff Sulby Straight Veste ;;;;;;;;;;;;;;;;;;;;;;;;;;;Cordura Cotton;<ul><li>CORDURA COTTON</ul></li>;;;;;;;;;;;;;;;;;;;;;;;;
