Source;ID;Active (0/1);Name *;Name (DE);Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;;Short description;Short Desc DE;Description;Desc DE;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
Fichier destockage Alpinestar;;;Venture;;170;;;;;;;;;;91140802;Honda Suisse;Alpinestars;;;;;;;;2;;;;;;Marc Coma, le champion des rallyes africains, a contribué à la réalisation de cette veste enduro innovante, et ce en utilisant une veste Venture sur le chemin de la victoire dans le Dakar 2011. Optimisée pour être utilisée avec le collier Alpinestars Bionic Neck Support, la veste Venture;;"• Réalisée en tissu résistant mixte nylon/polyester garantissant une excellente résistance à l’abrasion.<br>
• Coutures principales multiples pour une plus grande résistance au déchirement.<br>
• Manches multipanneau préformées pour une excellente vestibilité en position de conduite.<br>
• Structure 3D renforcée au niveau des coudes, avec renforts rembourrés pour une plus grande protection en cas d’impacts.<br>
• Col amovible spécialement conçu pour être utilisé avec le collier Alpinestars Bionic Neck Support et la plupart des protège-cous offerts sur le marché.<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Apex  ;;170;;;;;;;;;;91150302;Honda Suisse;Alpinestars;;;;;;;;5;;;;;;L'Apex de Alpinestars, avec ses protections certifiées CE, ses coutures renforcées et ses zones de stretch en accordéon, est parfait pour le motard qui exige de hauts niveaux de performance, sécurité et de confort;;"• Pantalon racing<br>
• Protections CEamovibles aux genoux.<br>
• Fentes d'aérations<br>
• Sliders sport Alpinestars<br>
• Fixation par zip<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;P1 Sport Touring DS;;170;;;;;;;;;;91160402;Honda Suisse;Alpinestars;;;;;;;;1;;;;;;Le pantalon Sport Touring par excellence, très léger et impérméable avec doublure Drystar;;"• Pantalon Cordura Texland Air Guard 500D léger et respirant<br>
• Doublure Drystar imperméable et respirante amovible<br>
• Protections certifiée CE amovibles<br>
 • Jambes pré-courbées et forme ergonomique pour plus de confort<br>
• Zip à la taille permettant le raccord d'un blouson Alpinestars<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Long Range DS;;170;;;;;;;;;;91161602;Honda Suisse;Alpinestars;;;;;;;;2;;;;;;Le pantalon moto Alpinestars LONG RANGE DRYSTAR® s'utilise toute l'année grâce à sa doublure thermique et sa membrane Drystar® étanche et respirante pour l'automne et l'hiver, et ses multiples aérations pour l'été. Un incontournable pour ceux qui roulent toute l'année;;"• Membrane Alpinestars Drystar, 100% imperméable et respirante, est amovible<br>
• Doublure interne matelassée avec élèment vertical amovible<br>
• Genou et entre-jambe en tissu renforcé et résistant à l'abrasion<br>
• Rembourrage sur les hanchesconfort<br>
• Prises d'air latérales au niveau des hanches et des cuisses, avec panneaux mesh invisibles et fermetures automatiques<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Long Range 2 DS;;170;;;;;;;;;;91161902;Honda Suisse;Alpinestars;;;;;;;;3;;;;;;Le pantalon moto Alpinestars LONG RANGE DRYSTAR® s'utilise toute l'année grâce à sa doublure thermique et sa membrane Drystar® étanche et respirante pour l'automne et l'hiver, et ses multiples aérations pour l'été. Un incontournable pour ceux qui roulent toute l'année;;"• Membrane Alpinestars Drystar, 100% imperméable et respirante, est amovible<br>
• Doublure interne matelassée avec élèment vertical amovible<br>
• Genou et entre-jambe en tissu renforcé et résistant à l'abrasion<br>
• Rembourrage sur les hanchesconfort<br>
• Prises d'air latérales au niveau des hanches et des cuisses, avec panneaux mesh invisibles et fermetures automatiques<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Long Range DS;;170;;;;;;;;;;91161908;Honda Suisse;Alpinestars;;;;;;;;4;;;;;;Le pantalon moto Alpinestars LONG RANGE 2 DRYSTAR® s'utilise toute l'année grâce à sa doublure thermique et sa membrane Drystar® étanche et respirante pour l'automne et l'hiver, et ses multiples aérations pour l'été. Un incontournable pour ceux qui roulent toute l'année;;"• Membrane Alpinestars Drystar, 100% imperméable et respirante, est amovible<br>
• Doublure interne matelassée avec élèment vertical amovible<br>
• Genou et entre-jambe en tissu renforcé et résistant à l'abrasion<br>
• Rembourrage sur les hanchesconfort<br>
• Prises d'air latérales au niveau des hanches et des cuisses, avec panneaux mesh invisibles et fermetures automatiques<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Stella Monza;;170;;;;;;;;;;91210101;Honda Suisse;Alpinestars;;;;;;;;1;;;;;;"Combinaison pour femme Alpinestars Stella Monza 2 pièces.
Confectionnée en cuir de 1,3 mm de haute qualité. 
Doublure intérieure amovible et lavable en tissu élastique.
Panneaux en cuir en accordéon sur les épaules, coudes, genoux et ceinture";;"• Renforcement en aramide au niveau des aisselles, des bras, intérieure des jambes et au dos des genoux<br>
• GP protecteurs amovibles aux épaules et aux coudes<br>
• Protections du genou et du tibia<br>
• Fermetures éclair YKK<br>
• Bosse aérodynamique ventilé<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Stella Six-3;;170;;;;;;;;;;91220700;Honda Suisse;Alpinestars;;;;;;;;3;;;;;;"1963, l’année de la création de la marque Alpinestars. Depuis
des années un classique dans l’assortiment des vestes en cuir.
Parfaite sur la moto comme à la ville.";;"• Veste étudiée pour les femmes, mélange entre fonctionnalités modernes et héritage du style Alpinestars<br>
• cuir grenelé 1.3 mm<br>
d’épaisseur, garantissant une excellente résistance à l’abrasion<br>
• finitions vieillies donnant un style vintage<br>
• les principales coutures sont doublées et assurent une résistance incomparable à la déchirure<br>
• protections de coudes et des épaules amovibles, certifiées CE<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Stella Tyla;;170;;;;;;;;;;91250102;Honda Suisse;Alpinestars;;;;;;;;3;;;;;;Comment allier protection et élégance ? Demandez à Alpinestars, qui fait des miracles en la matière avec son pantalon cuir STELLA TYLA PANTS ! Taillé pour les femmes, il est fabriqué dans un cuir offrant une épaisseur de 1,2 à 1,4 mm d'épaisseur pour une résistance optimale à l'abrasion, encore améliorée par ses coutures résistantes;;"• Pantalon femme en cuir 1.2 à 1.4mm pour une excellente résistance à l'abrasion<br>
• Coutures résistantes<br>
• Protections certifiées CE amovibles<br>
• Panneaux de Kevlar élastiques <br>
• Zip à la taille permettant le raccord d'un blouson Alpinestars textile ou cuir<br>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fichier destockage Alpinestar;;;Stella Cat;;170;;;;;;;;;;91250200;Honda Suisse;Alpinestars;;;;;;;;2;;;;;;Design et coupe spécifiques pour Femme Pantalon cuir pleine fleur 1,1mm souple et satiné Coupe Relax pour une utilisation sur route inspirée par une coupe jeans Protections genoux homologuées CE amovibles et inclues Logos Alpinestars Stella en couture Coloris Noir;;"• Pantalon femme en cuir 1.1mm pour une excellente résistance à l'abrasion<br>
• Protections certifiées CE amovibles<br>
• Doublure en taffeta<br>
• Panneaux de Kevlar élastiques <br>
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
