id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Filtre 1;Filtre 2;Filtre 3;Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
100020;1;Arrow Accessoire;433;1.76;1;1.32;1;;;;;3640022;;Freidig;Arrow;;;;;;;;1.00;;both;;;;Seegerring Db-Killer;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3640022_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3640022_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100021;1;Arrow Accessoire;433;1.76;1;1.32;1;;;;;3640026;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Seger Pour Db Killer;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3640026_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3640026_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100022;1;Arrow Accessoire;433;1.76;1;1.32;1;;;;;3640048;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Seger Pour Db Killer;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3640048_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3640048_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100023;1;Arrow Accessoire;433;1.76;1;1.32;1;;;;;3640052;;Freidig;Arrow;;;;;;;;2.00;;both;;;;Seger Pour Db Killer Dia. 45 Mm;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3640025_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3640025_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100024;1;Arrow Accessoire;433;8.24;1;6.18;1;;;;;3881839;;Freidig;Arrow;;;;;;;;1.00;;both;;;;Plate;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;3881839_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/3881839_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100025;0;Arrow Accessoire;433;87.96;1;65.97;1;;;;;5009792;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Titanium End Cap;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100026;1;Arrow Accessoire;433;50.93;1;38.20;1;;;;;5030242;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Ass.Att.Pieg.Inox Supp.Term.Thunder;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;5030242_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/5030242_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100027;0;Arrow Accessoire;433;14.81;1;11.11;1;;;;;5165299;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Spacer;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100028;0;Arrow Accessoire;433;11.11;1;8.33;1;;;;;5165300;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Turned Spacer;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100029;1;Lambda Sensor Plug Bolt;433;12.96;1;9.72;1;;;;;5175001;;Freidig;Arrow;;;;;;;;4.00;;both;;;;;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;5175001_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/5175001_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100030;1;Arrow Accessoire;433;120.37;1;90.28;1;;;;;5210414;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Collector Tube No. 4 Steel ;<ul><li>For 71051Cp</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;5210414_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/5210414_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100031;0;Arrow Accessoire;433;466.67;1;350.00;1;;;;;5214296;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Collector Titanium For 75083Tk Honda Crf250 '10;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100032;0;Arrow Yamaha;433;579.63;1;434.72;1;;;;;5214316;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Yz450F '10 Collector;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Yamaha;Offroad / Enduro;Racing;Compatibilité marque:Yamaha:1,Utilisation:Offroad / Enduro:2,Homologation:Racing:3;1;new;0;0;0;0;0;0;0;0
100033;0;Arrow Honda;433;483.33;1;362.50;1;;;;;5214402;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Crf450R '11 Titanium Collector ;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Honda;Offroad / Enduro;Racing;Compatibilité marque:Honda:1,Utilisation:Offroad / Enduro:2,Homologation:Racing:3;1;new;0;0;0;0;0;0;0;0
100034;0;Arrow Accessoire;433;161.11;1;120.83;1;;;;;5260130;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Silencer Sleeve;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100035;0;Arrow Accessoires;433;168.52;1;126.39;1;;;;;5260332;;Freidig;Arrow;;;;;;;;0.00;;both;;;;;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100036;0;Arrow Accessoire;433;168.52;1;126.39;1;;;;;5260371;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Coat For Silencer;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100037;0;Arrow Accessoire;433;176.85;1;132.64;1;;;;;5260601;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Silencer Sleeve;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100038;1;Arrow Zubehör;433;5.46;1;4.10;1;;;;;5281001;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Ass.Molla Lunga Ganc.Tondo+Gommino;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;5281001_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/5281001_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100039;1;Arrow Accesoire;433;5.09;1;3.82;1;;;;;5281003;;Freidig;Arrow;;;;;;;;4.00;;both;;;;Plume;<ul><li>Longeur: Env. 60 Mm</li></ul>;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;5281003_0.jpg;http://prestashop.vs1.details.cognix-systems.net/img/import/5281003_0.jpg;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100040;0;Arrow Accessoire;433;22.22;1;16.67;1;;;;;5475012;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Silencer Clamp;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100041;0;Arrow Accessoire;433;2.69;1;1.72;1;;;;;5480004;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Stainless Steel Clamp Protection;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
100042;0;Arrow Accessoire;433;26.85;1;17.18;1;;;;;5480067;;Freidig;Arrow;;;;;;;;0.00;;both;;;;Bracket;;;;;;;In Stock;Current supply. Ordering availlable;1;2016-02-15;2016-02-15;1;http://prestashop.vs1.details.cognix-systems.net/img/import/;0;http://prestashop.vs1.details.cognix-systems.net/img/import/0;0;Accessoires;Technique divers;;Compatibilité marque:Accessoires:1,Utilisation:Technique divers:2,Homologation::3;1;new;0;0;0;0;0;0;0;0
