Product ID*;;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85573;;Taille Casque:select:0;2XL:5;DMD804-2XL;DMD804-2XL;;;;;;0;;;;;;;;;;;
85573;;Taille Casque:select:0;L:4;DMD804-L;DMD804-L;;;;;;0;;;;;;;;;;;
85573;;Taille Casque:select:0;M:3;DMD804-M;DMD804-M;;;;;;0;;;;;;;;;;;
85573;;Taille Casque:select:0;S:2;DMD804-S;DMD804-S;;;;;;0;;;;;;;;;;;
85573;;Taille Casque:select:0;XL:6;DMD804-XL;DMD804-XL;;;;;;0;;;;;;;;;;;
85573;;Taille Casque:select:0;XS:1;DMD804-XS;DMD804-XS;;;;;;0;;;;;;;;;;;
85574;;Taille Casque:select:0;2XL:5;DMD805-2XL;DMD805-2XL;;;;;;0;;;;;;;;;;;
85574;;Taille Casque:select:0;L:4;DMD805-L;DMD805-L;;;;;;0;;;;;;;;;;;
85574;;Taille Casque:select:0;M:3;DMD805-M;DMD805-M;;;;;;0;;;;;;;;;;;
85574;;Taille Casque:select:0;S:2;DMD805-S;DMD805-S;;;;;;0;;;;;;;;;;;
85574;;Taille Casque:select:0;XL:6;DMD805-XL;DMD805-XL;;;;;;0;;;;;;;;;;;
85574;;Taille Casque:select:0;XS:1;DMD805-XS;DMD805-XS;;;;;;0;;;;;;;;;;;
85575;;Taille Casque:select:0;2XL:5;DMD806-2XL;DMD806-2XL;;;;;;0;;;;;;;;;;;
85575;;Taille Casque:select:0;L:4;DMD806-L;DMD806-L;;;;;;0;;;;;;;;;;;
85575;;Taille Casque:select:0;M:3;DMD806-M;DMD806-M;;;;;;0;;;;;;;;;;;
85575;;Taille Casque:select:0;S:2;DMD806-S;DMD806-S;;;;;;0;;;;;;;;;;;
85575;;Taille Casque:select:0;XL:6;DMD806-XL;DMD806-XL;;;;;;0;;;;;;;;;;;
85575;;Taille Casque:select:0;XS:1;DMD806-XS;DMD806-XS;;;;;;0;;;;;;;;;;;
85576;;Taille Casque:select:0;2XL:5;DMD821-2XL;DMD821-2XL;;;;;;0;;;;;;;;;;;
85576;;Taille Casque:select:0;L:4;DMD821-L;DMD821-L;;;;;;0;;;;;;;;;;;
85576;;Taille Casque:select:0;M:3;DMD821-M;DMD821-M;;;;;;0;;;;;;;;;;;
85576;;Taille Casque:select:0;S:2;DMD821-S;DMD821-S;;;;;;0;;;;;;;;;;;
85576;;Taille Casque:select:0;XL:6;DMD821-XL;DMD821-XL;;;;;;0;;;;;;;;;;;
85576;;Taille Casque:select:0;XS:1;DMD821-XS;DMD821-XS;;;;;;0;;;;;;;;;;;
85577;;Taille Casque:select:0;2XL:5;DMD822-2XL;DMD822-2XL;;;;;;0;;;;;;;;;;;
85577;;Taille Casque:select:0;L:4;DMD822-L;DMD822-L;;;;;;0;;;;;;;;;;;
85577;;Taille Casque:select:0;M:3;DMD822-M;DMD822-M;;;;;;0;;;;;;;;;;;
85577;;Taille Casque:select:0;S:2;DMD822-S;DMD822-S;;;;;;0;;;;;;;;;;;
85577;;Taille Casque:select:0;XL:6;DMD822-XL;DMD822-XL;;;;;;0;;;;;;;;;;;
85577;;Taille Casque:select:0;XS:1;DMD822-XS;DMD822-XS;;;;;;0;;;;;;;;;;;
85520;;Taille Casque:select:0;L:4;DMD104-L;DMD104-L;;;;;;1;;;;;;;;;;;
85520;;Taille Casque:select:0;M:3;DMD104-M;DMD104-M;;;;;;0;;;;;;;;;;;
85520;;Taille Casque:select:0;S:2;DMD104-S;DMD104-S;;;;;;0;;;;;;;;;;;
85520;;Taille Casque:select:0;XL:6;DMD104-XL;DMD104-XL;;;;;;1;;;;;;;;;;;
85520;;Taille Casque:select:0;XS:1;DMD104-XS;DMD104-XS;;;;;;0;;;;;;;;;;;
85521;;Taille Casque:select:0;L:4;DMD105-L;DMD105-L;;;;;;0;;;;;;;;;;;
85521;;Taille Casque:select:0;M:3;DMD105-M;DMD105-M;;;;;;0;;;;;;;;;;;
85521;;Taille Casque:select:0;S:2;DMD105-S;DMD105-S;;;;;;1;;;;;;;;;;;
85521;;Taille Casque:select:0;XL:6;DMD105-XL;DMD105-XL;;;;;;0;;;;;;;;;;;
85521;;Taille Casque:select:0;XS:1;DMD105-XS;DMD105-XS;;;;;;1;;;;;;;;;;;
85522;;Taille Casque:select:0;L:4;DMD106-L;DMD106-L;;;;;;0;;;;;;;;;;;
85522;;Taille Casque:select:0;M:3;DMD106-M;DMD106-M;;;;;;0;;;;;;;;;;;
85522;;Taille Casque:select:0;S:2;DMD106-S;DMD106-S;;;;;;1;;;;;;;;;;;
85522;;Taille Casque:select:0;XL:6;DMD106-XL;DMD106-XL;;;;;;0;;;;;;;;;;;
85522;;Taille Casque:select:0;XS:1;DMD106-XS;DMD106-XS;;;;;;1;;;;;;;;;;;
85523;;Taille Casque:select:0;L:4;DMD107-L;DMD107-L;;;;;;0;;;;;;;;;;;
85523;;Taille Casque:select:0;M:3;DMD107-M;DMD107-M;;;;;;0;;;;;;;;;;;
85523;;Taille Casque:select:0;S:2;DMD107-S;DMD107-S;;;;;;0;;;;;;;;;;;
85523;;Taille Casque:select:0;XL:6;DMD107-XL;DMD107-XL;;;;;;0;;;;;;;;;;;
85523;;Taille Casque:select:0;XS:1;DMD107-XS;DMD107-XS;;;;;;0;;;;;;;;;;;
85524;;Taille Casque:select:0;L:4;DMD126-L;DMD126-L;;;;;;0;;;;;;;;;;;
85524;;Taille Casque:select:0;M:3;DMD126-M;DMD126-M;;;;;;0;;;;;;;;;;;
85524;;Taille Casque:select:0;S:2;DMD126-S;DMD126-S;;;;;;0;;;;;;;;;;;
85524;;Taille Casque:select:0;XL:6;DMD126-XL;DMD126-XL;;;;;;0;;;;;;;;;;;
85524;;Taille Casque:select:0;XS:1;DMD126-XS;DMD126-XS;;;;;;0;;;;;;;;;;;
85525;;Taille Casque:select:0;L:4;DMD127-L;DMD127-L;;;;;;0;;;;;;;;;;;
85525;;Taille Casque:select:0;M:3;DMD127-M;DMD127-M;;;;;;0;;;;;;;;;;;
85525;;Taille Casque:select:0;S:2;DMD127-S;DMD127-S;;;;;;0;;;;;;;;;;;
85525;;Taille Casque:select:0;XL:6;DMD127-XL;DMD127-XL;;;;;;0;;;;;;;;;;;
85525;;Taille Casque:select:0;XS:1;DMD127-XS;DMD127-XS;;;;;;0;;;;;;;;;;;
85526;;Taille Casque:select:0;L:4;DMD128-L;DMD128-L;;;;;;0;;;;;;;;;;;
85526;;Taille Casque:select:0;M:3;DMD128-M;DMD128-M;;;;;;0;;;;;;;;;;;
85526;;Taille Casque:select:0;S:2;DMD128-S;DMD128-S;;;;;;0;;;;;;;;;;;
85526;;Taille Casque:select:0;XL:6;DMD128-XL;DMD128-XL;;;;;;0;;;;;;;;;;;
85526;;Taille Casque:select:0;XS:1;DMD128-XS;DMD128-XS;;;;;;0;;;;;;;;;;;
85527;;Taille Casque:select:0;L:4;DMD129-L;DMD129-L;;;;;;0;;;;;;;;;;;
85527;;Taille Casque:select:0;M:3;DMD129-M;DMD129-M;;;;;;0;;;;;;;;;;;
85527;;Taille Casque:select:0;S:2;DMD129-S;DMD129-S;;;;;;0;;;;;;;;;;;
85527;;Taille Casque:select:0;XL:6;DMD129-XL;DMD129-XL;;;;;;0;;;;;;;;;;;
85527;;Taille Casque:select:0;XS:1;DMD129-XS;DMD129-XS;;;;;;0;;;;;;;;;;;
85528;;Taille Casque:select:0;L:4;DMD131-L;DMD131-L;;;;;;0;;;;;;;;;;;
85528;;Taille Casque:select:0;M:3;DMD131-M;DMD131-M;;;;;;1;;;;;;;;;;;
85528;;Taille Casque:select:0;S:2;DMD131-S;DMD131-S;;;;;;0;;;;;;;;;;;
85528;;Taille Casque:select:0;XL:6;DMD131-XL;DMD131-XL;;;;;;0;;;;;;;;;;;
85528;;Taille Casque:select:0;XS:1;DMD131-XS;DMD131-XS;;;;;;0;;;;;;;;;;;
85529;;Taille Casque:select:0;L:4;DMD132-L;DMD132-L;;;;;;2;;;;;;;;;;;
85529;;Taille Casque:select:0;M:3;DMD132-M;DMD132-M;;;;;;2;;;;;;;;;;;
85529;;Taille Casque:select:0;S:2;DMD132-S;DMD132-S;;;;;;1;;;;;;;;;;;
85529;;Taille Casque:select:0;XL:6;DMD132-XL;DMD132-XL;;;;;;0;;;;;;;;;;;
85529;;Taille Casque:select:0;XS:1;DMD132-XS;DMD132-XS;;;;;;0;;;;;;;;;;;
85530;;Taille Casque:select:0;L:4;DMD133-L;DMD133-L;;;;;;0;;;;;;;;;;;
85530;;Taille Casque:select:0;M:3;DMD133-M;DMD133-M;;;;;;0;;;;;;;;;;;
85530;;Taille Casque:select:0;S:2;DMD133-S;DMD133-S;;;;;;0;;;;;;;;;;;
85530;;Taille Casque:select:0;XL:6;DMD133-XL;DMD133-XL;;;;;;0;;;;;;;;;;;
85530;;Taille Casque:select:0;XS:1;DMD133-XS;DMD133-XS;;;;;;0;;;;;;;;;;;
85531;;Taille Casque:select:0;L:4;DMD134-L;DMD134-L;;;;;;0;;;;;;;;;;;
85531;;Taille Casque:select:0;M:3;DMD134-M;DMD134-M;;;;;;1;;;;;;;;;;;
85531;;Taille Casque:select:0;S:2;DMD134-S;DMD134-S;;;;;;2;;;;;;;;;;;
85531;;Taille Casque:select:0;XL:6;DMD134-XL;DMD134-XL;;;;;;1;;;;;;;;;;;
85531;;Taille Casque:select:0;XS:1;DMD134-XS;DMD134-XS;;;;;;0;;;;;;;;;;;
85532;;Taille Casque:select:0;L:4;DMD135-L;DMD135-L;;;;;;2;;;;;;;;;;;
85532;;Taille Casque:select:0;M:3;DMD135-M;DMD135-M;;;;;;2;;;;;;;;;;;
85532;;Taille Casque:select:0;S:2;DMD135-S;DMD135-S;;;;;;2;;;;;;;;;;;
85532;;Taille Casque:select:0;XL:6;DMD135-XL;DMD135-XL;;;;;;1;;;;;;;;;;;
85532;;Taille Casque:select:0;XS:1;DMD135-XS;DMD135-XS;;;;;;0;;;;;;;;;;;
85533;;Taille Casque:select:0;L:4;DMD161-L;DMD161-L;;;;;;0;;;;;;;;;;;
85533;;Taille Casque:select:0;M:3;DMD161-M;DMD161-M;;;;;;0;;;;;;;;;;;
85533;;Taille Casque:select:0;S:2;DMD161-S;DMD161-S;;;;;;0;;;;;;;;;;;
85533;;Taille Casque:select:0;XL:6;DMD161-XL;DMD161-XL;;;;;;0;;;;;;;;;;;
85533;;Taille Casque:select:0;XS:1;DMD161-XS;DMD161-XS;;;;;;0;;;;;;;;;;;
85534;;Taille Casque:select:0;L:4;DMD162-L;DMD162-L;;;;;;0;;;;;;;;;;;
85534;;Taille Casque:select:0;M:3;DMD162-M;DMD162-M;;;;;;0;;;;;;;;;;;
85534;;Taille Casque:select:0;S:2;DMD162-S;DMD162-S;;;;;;0;;;;;;;;;;;
85534;;Taille Casque:select:0;XL:6;DMD162-XL;DMD162-XL;;;;;;0;;;;;;;;;;;
85534;;Taille Casque:select:0;XS:1;DMD162-XS;DMD162-XS;;;;;;0;;;;;;;;;;;
85535;;Taille Casque:select:0;L:4;DMD163-L;DMD163-L;;;;;;0;;;;;;;;;;;
85535;;Taille Casque:select:0;M:3;DMD163-M;DMD163-M;;;;;;0;;;;;;;;;;;
85535;;Taille Casque:select:0;S:2;DMD163-S;DMD163-S;;;;;;0;;;;;;;;;;;
85535;;Taille Casque:select:0;XL:6;DMD163-XL;DMD163-XL;;;;;;0;;;;;;;;;;;
