id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
45556;;M11-5050;;;;;;;;;;;;;;;;;;;;;;;;;;;Leistungswiderstand 25W- 6,8 Ohm;;;;;;;;;;;;;;;;;;;;;;;;;
45557;;M11-5051;;;;;;;;;;;;;;;;;;;;;;;;;;;Leistungswiderstand 25W- 8,2 Ohm;;;;;;;;;;;;;;;;;;;;;;;;;
45558;;Blinkerschelle, Alu Cnc Gefräst;;;;;;;;;;;;;;;;;;;;;;;;;;;Silber, Paar;<ul><li>Ø 22Mm  M10</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45559;;Blinkerschelle, Alu Cnc Gefräst;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz, Paar;<ul><li>Ø 22Mm  M10</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45560;;Blinkerschelle, Alu Cnc Gefräst;;;;;;;;;;;;;;;;;;;;;;;;;;;Verchromt, Paar;<ul><li>Ø 22Mm  M10</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45561;;2 Halter 43-46 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Lampenhalter Chrom;;;;;;;;;;;;;;;;;;;;;;;;;
45562;;2 Halter 51-54 Mm;;;;;;;;;;;;;;;;;;;;;;;;;;;Für Lampenhalter Chrom;;;;;;;;;;;;;;;;;;;;;;;;;
45563;;M11-5086 Universalblinkrelais;;;;;;;;;;;;;;;;;;;;;;;;;;;Moto Gadget ;;;;;;;;;;;;;;;;;;;;;;;;;
45564;;M11-5081;;;;;;;;;;;;;;;;;;;;;;;;;;;Blinkrelais 7-Pole Für Led Suzuki;;;;;;;;;;;;;;;;;;;;;;;;;
45565;;Universalblinkrelais 2-Pol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45566;;Blinkmodul Br-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45567;;Mini-Stecksicherung 5A ;;;;;;;;;;;;;;;;;;;;;;;;;;;10Stk;;;;;;;;;;;;;;;;;;;;;;;;;
45568;;Mini-Stecksicherung 10A ;;;;;;;;;;;;;;;;;;;;;;;;;;;10Stk;;;;;;;;;;;;;;;;;;;;;;;;;
45569;;Mini-Stecksicherung 15A ;;;;;;;;;;;;;;;;;;;;;;;;;;;10Stk;;;;;;;;;;;;;;;;;;;;;;;;;
45570;;Mini-Stecksicherung 20A ;;;;;;;;;;;;;;;;;;;;;;;;;;;10Stk;;;;;;;;;;;;;;;;;;;;;;;;;
45571;;Mini-Stecksicherung 25A;;;;;;;;;;;;;;;;;;;;;;;;;;;10Stk;;;;;;;;;;;;;;;;;;;;;;;;;
45572;;Scott Hurricane Atv;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
45573;;Zündschloss Div.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45574;;Zündschloss Div. Yamaha;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45575;;Horn 6V Silber ;;;;;;;;;;;;;;;;;;;;;;;;;;;Ø 70 Mm;;;;;;;;;;;;;;;;;;;;;;;;;
45576;;Lampenhalter-Set, 2 Halter  ;;;;;;;;;;;;;;;;;;;;;;;;;;;35-38 Mm Alu/Schwarz;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern (Schwarz) Und</li><li>4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45577;;Lampenhalter-Set, 2 Halter  ;;;;;;;;;;;;;;;;;;;;;;;;;;;39-42 Mm Alu/Schwarz;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern (Schwarz) Und</li><li>4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45578;;Lampenhalter-Set, 2 Halter;;;;;;;;;;;;;;;;;;;;;;;;;;;43-46 Mm Alu/Schwarz;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern (Schwarz) Und</li><li>4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45579;;Lampenhalter-Set, 2 Halter  ;;;;;;;;;;;;;;;;;;;;;;;;;;;47-50 Mm Alu/Schwarz;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern (Schwarz) Und</li><li>4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45580;;Lampenhalter-Set, 2 Halter  ;;;;;;;;;;;;;;;;;;;;;;;;;;;51-54 Mm Alu/Schwarz;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern (Schwarz) Und</li><li>4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45581;;Lampenhalter-Set, 2 Halter  ;;;;;;;;;;;;;;;;;;;;;;;;;;;55-58 Mm Alu/Schwarz;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern (Schwarz) Und</li><li>4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45582;;Lampenhalter-Set 2 Halter  ;;;;;;;;;;;;;;;;;;;;;;;;;;;31-34 Mm Alu/Poliert;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern Und 4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45583;;Lampenhalter-Set, 2 Halter  ;;;;;;;;;;;;;;;;;;;;;;;;;;;35-38 Mm Alu/Poliert;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern Und 4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45584;;Lampenhalter-Set, 2 Halter ;;;;;;;;;;;;;;;;;;;;;;;;;;;39-42 Mm Alu/Poliert;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern Und 4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45585;;Lampenhalter-Set, 2 Halter ;;;;;;;;;;;;;;;;;;;;;;;;;;;43-46 Mm Alu/Poliert;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern Und 4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45586;;Lampenhalter-Set, 2 Halter ;;;;;;;;;;;;;;;;;;;;;;;;;;;47-50 Mm Alu/Poliert;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern Und 4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45587;;Lampenhalter-Set, 2 Halter ;;;;;;;;;;;;;;;;;;;;;;;;;;;51-54 Mm Alu/Poliert;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern Und 4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45588;;Lampenhalter-Set, 2 Halter ;;;;;;;;;;;;;;;;;;;;;;;;;;;55-58 Mm Alu/Poliert;<ul><li>Lampenhalter Alu</li><li>Bestehend Aus 2 Haltern Und 4 Verchromten Schellen</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45594;;Flat Elly Doppelscheinwerfer;;;;;;;;;;;;;;;;;;;;;;;;;;;Chrom, Led Parklicht;;;;;;;;;;;;;;;;;;;;;;;;;
45595;;Flat Elly Doppelscheinwerfer;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz, Led Parklicht;;;;;;;;;;;;;;;;;;;;;;;;;
45597;;"Ellipsoidscheinwerfer ""Ritz""";;;;;;;;;;;;;;;;;;;;;;;;;;;Mit Fern Und Abblendlicht;;;;;;;;;;;;;;;;;;;;;;;;;
45600;;Scheinwerfern Ltd;;;;;;;;;;;;;;;;;;;;;;;;;;;Chrom;<ul><li>178 Mm (7 Zoll) Ltd-Chromscheinwerfer H4, Runde Befestigungslöcher, Mit Prismenreflektor Und Klarglas </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45602;;Scheinwerfern Reno Led;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz Hochglanz;<ul><li>7`` Led Scheinwerfer, Metallgehäuse, Klares Glas, Rund,Seitliche Befestigung M8, Led Einsatz Mit Standlicht, E-Geprüft.</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45603;;Scheinwerfer, Mit Hs1 ;;;;;;;;;;;;;;;;;;;;;;;;;;;12V 35/35W Einsatz;<ul><li>L X H X T</li><li>140 X 105 X 110 Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45604;;Set Mit 2 Scheinwerfern;;;;;;;;;;;;;;;;;;;;;;;;;;;Fern- + Abb Chrom;<ul><li>Doppel-Scheinwerfer Mit Standlicht Und Seitlicher Befestigung</li><li>Lampe Ø 90 Mm</li><li>Ch-Homologation</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45605;;Set Mit 2 Scheinwerfern ;;;;;;;;;;;;;;;;;;;;;;;;;;;Fern + Abb Mattschwarz;<ul><li>Doppel-Scheinwerfer Mit Standlicht Und Seitlicher Befestigung</li><li>Lampe Ø 90 Mm</li><li>Ch-Homologation</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45606;;Set Mit 2 Scheinwerfern *Nml*;;;;;;;;;;;;;;;;;;;;;;;;;;;Fern + Abb Carbonlook;<ul><li>Doppel-Scheinwerfer Mit Standlicht Und Seitlicher Befestigung</li><li>Mfk Geprüft</li><li>Lampe Ø 90Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45608;;Set Mit 2 Scheinwerfern ;;;;;;;;;;;;;;;;;;;;;;;;;;;Fern + Abb Chrom;<ul><li>Doppelscheinwerfer</li><li>Metallgehäuse Zur Seitlichen Befestigung</li><li>Mit Zwei 38Mm Ellipsoidscheinwerfern Und Led Parklicht</li><li>Mfk Geprüft</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45609;;Set Mit 2 Scheinwerfern;;;;;;;;;;;;;;;;;;;;;;;;;;;Fern + Abb Schwarz;<ul><li>Doppelscheinwerfer</li><li>Metallgehäuse Zur Seitlichen Befestigung</li><li>Mit Zwei 38 Mm Ellipsoidscheinwerfern</li><li>Und Led Parklicht</li><li>Ch-Homologation</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45610;;Doppelscheinwerfer Fire ;;;;;;;;;;;;;;;;;;;;;;;;;;;Led-Standlicht Verchromt;;;;;;;;;;;;;;;;;;;;;;;;;
45611;;Doppelscheinwerfer Fire ;;;;;;;;;;;;;;;;;;;;;;;;;;;Led-Standlicht Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
45612;;Chromgehäuse Mit Fern-Und ;;;;;;;;;;;;;;;;;;;;;;;;;;;Nebelscheinwerfer Glas Blau;;;;;;;;;;;;;;;;;;;;;;;;;
45614;;Scheinwerferglas Rechts H4;;;;;;;;;;;;;;;;;;;;;;;;;;;Zu 223-334;;;;;;;;;;;;;;;;;;;;;;;;;
45615;;Scheinwerferglas Links ;;;;;;;;;;;;;;;;;;;;;;;;;;;Zu 223-334;;;;;;;;;;;;;;;;;;;;;;;;;
45616;;Scheinwerferglas Links H7;;;;;;;;;;;;;;;;;;;;;;;;;;;Zu 223-334;;;;;;;;;;;;;;;;;;;;;;;;;
45617;;Scheinwerfereinsatz;;;;;;;;;;;;;;;;;;;;;;;;;;;H4 12V 60/55;;;;;;;;;;;;;;;;;;;;;;;;;
45618;;Scheinwerfereinsatz;;;;;;;;;;;;;;;;;;;;;;;;;;;Hs1 12V 35/35;;;;;;;;;;;;;;;;;;;;;;;;;
45619;;Scott Griffgummi Atv ;;;;;;;;;;;;;;;;;;;;;;;;;;;Grau/Schwarz;<ul><li>Für Atv Oder Quad</li><li>Für Lenker Ø 22Mm</li><li>Länge: 125Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45623;;Micro-Cat-Eye-Rücklicht;;;;;;;;;;;;;;;;;;;;;;;;;;;Ersatzglas, E-Geprüft;;;;;;;;;;;;;;;;;;;;;;;;;
45624;;Griffgummi Ariete Schwarz/Chrom Foam Chopper ;;;;;;;;;;;;;;;;;;;;;;;;;;;Enden Geschlossen;<ul><li>130Mm</li><li>Ø Innen 22Mm</li><li>Ø Aussen Ca.42Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45625;;Griffgummi Ariete Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Enden Offen ;<ul><li>120Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45626;;Griffgummi Ariete Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Enden Offen ;<ul><li>130Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45627;;Griffgummi Ariete Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Enden Offen ;<ul><li>125Mm</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
45628;;Griffgummi Ariete Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;;;Enden Offen ;;;;;;;;;;;;;;;;;;;;;;;;;
45629;;Benzinschlauch 10 Meter ;;;;;;;;;;;;;;;;;;;;;;;;;;;5X8 Mm Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
