Product ID*;Ref Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
43883;;Taille:select:0;S/M:2;0006670.319.063;0006670.319.063;;;;;;0;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006670.319.063_0.jpg;1;;;;
43883;;Taille:select:0;L/XL:4;0006670.319.067;0006670.319.067;;;;;;0;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006670.319.067_0.jpg;1;;;;
43884;;Taille:select:0;XS:1;0006855.990.061;0006855.990.061;;;;;;3;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006855.990.061_0.jpg;1;;;;
43884;;Taille:select:0;S/M:2;0006855.990.063;0006855.990.063;;;;;;4;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006855.990.063_0.jpg;1;;;;
43884;;Taille:select:0;L/XL:4;0006855.990.067;0006855.990.067;;;;;;4;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006855.990.067_0.jpg;1;;;;
43884;;Taille:select:0;2XL:6;0006855.990.069;0006855.990.069;;;;;;3;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006855.990.069_0.jpg;1;;;;
43885;;Taille:select:0;41:1;0006981.999.041;0006981.999.041;;;;;;1;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006981.999.041_0.jpg;1;;;;
43885;;Taille:select:0;44:2;0006981.999.044;0006981.999.044;;;;;;1;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006981.999.044_0.jpg;1;;;;
43885;;Taille:select:0;47:3;0006981.999.047;0006981.999.047;;;;;;1;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0006981.999.047_0.jpg;1;;;;
43891;;Taille:select:0;42:1;0009143.030.042;0009143.030.042;;;;;;2;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0009143.030.042_0.jpg;1;;;;
43891;;Taille:select:0;47:2;0009143.030.047;0009143.030.047;;;;;;1;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0009143.030.047_0.jpg;1;;;;
43894;;Taille:select:0;S:2;0009538-S;0009538-S;;;;;;4;1;0;0;2016-02-25;1;https://www.motogoodeal.ch/img/import/0009538_0.jpg;1;;;;
