id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);url strt;url end;image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
57000;;Arrow Honda (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Cbr600Rr '03-04 Power Commander Iii;;;;;;;;;;;;;;;;;;;;;;;;;;;
57001;;Arrow Aprilia (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Rsv1000 '04 Power Commander Iii;;;;;;;;;;;;;;;;;;;;;;;;;;;
57002;;Arrow Honda (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Cbr1000 '04 Power Commander Iii;;;;;;;;;;;;;;;;;;;;;;;;;;;
57003;;Arrow Honda (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Cbr600Rr '05 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57004;;Arrow Suzuki (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Gsx-R1000 '05 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57005;;Arrow Yamaha (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;T-Max 500 '04-07 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57006;;Arrow Honda (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Cbr1000Rr '06 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57007;;Arrow Kawasaki Inaktiv;;;;;;;;;;;;;;;;;;;;;;;;;;;Zx-10R '06 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57008;;Arrow Suzuki (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Gsx-R600 '06 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57009;;Arrow Suzuki (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Gsx-R750 '06 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57010;;Arrow Yamaha (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Yzf R6 '06 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57011;;Arrow Honda (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Cbr600Rr '07 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57012;;Arrow Mv Agusta (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Brutale 910 '05-06 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57013;;Arrow Mv Agusta (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;F4 1000 '04-07 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57014;;Arrow Suzuki (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Gsx-R1000 '07 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57015;;Arrow Yamaha (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Yzf R1 '07 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57016;;Arrow Yamaha (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;Yzf R6 '08 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57017;;Arrow Yamaha (Inaktiv);;;;;;;;;;;;;;;;;;;;;;;;;;;T-Max 500 '08 Power Commander Iii Usb;;;;;;;;;;;;;;;;;;;;;;;;;;;
57018;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Paris-Dakar Inner Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57019;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Universal Mechanical Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57020;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Scooter Cylinder Head Gasket Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
57021;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;2 Takt Packing Material /- Lose Stopfwolle;;;;;;;;;;;;;;;;;;;;;;;;;;;
57022;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Enduro 4 Takt Stopfmatte Zum Rollen;100Cm X45Cm X1.5Cm;;;;;;;;;;;;;;;;;;;;;;;;;;
57023;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;4 Strokes 500 Mm Repacking Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
57024;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;4 Strokes 1200° Repacking Kit Stopfmatte Zum Rollen;;;;;;;;;;;;;;;;;;;;;;;;;;;
57025;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Cross Bikes Repacking Kit;;;;;;;;;;;;;;;;;;;;;;;;;;;
57026;;Arrow Gilera;;;;;;;;;;;;;;;;;;;;;;;;;;;Typhoon 50 / 93 Limited Series Racing Scooter Kevlar Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57027;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Kevlar Limited Series Spare Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57028;;Arrow Mbk;;;;;;;;;;;;;;;;;;;;;;;;;;;Mbk Booster / R Amico Limited Series Racing Kevlar Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57029;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Dark Extreme Spare Aluminium Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57030;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Extreme Spare Titanium Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57031;;Arrow Mbk;;;;;;;;;;;;;;;;;;;;;;;;;;;Mbk Nitro 50 '97-06 / Aerox '95-06 Extreme Dark Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
57032;;Arrow Zubehör;;;;;;;;;;;;;;;;;;;;;;;;;;;Extreme Silencer;;;;;;;;;;;;;;;;;;;;;;;;;;;
