id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80449;;Acerbis Bombshell Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>Belüftung</li><li>Visier verstellbar</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.100 g</li><li>Prüfung ece 22-05Material: Hi Tech FiberInnenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80450;;Acerbis Bombshell Black;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>Belüftung</li><li>Visier verstellbar</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.100 g</li><li>Prüfung ece 22-05Material: Hi Tech FiberInnenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80451;;Acerbis Bombshell Red;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>Belüftung</li><li>Visier verstellbar</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.100 g</li><li>Prüfung ece 22-05Material: Hi Tech FiberInnenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80452;;Acerbis Rave Blue/Yellow;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>Belüftung</li><li>Visier verstallbar</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.100g</li><li>Prüfung ece 22-05Material: Hi Tech FiberInnenfutter: hochwertig - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80453;;Acerbis Full White;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>2 Helmschalengrössen</li><li>Belüftung</li><li>Helmschild verstellbar</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.200 g</li><li>Prüfung ece 22-05Material: Hi Tech FiberInnenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80454;;Acerbis All Stars White/Red/Black;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>Belüftung</li><li>Visier verstellbar</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.100 g</li><li>Prüfung ece 22-05Material: Hi Tech FiberInnenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80455;;Acerbis Junior Orange/Yellow;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>Visier verstellbar</li><li>Kinnbelüftung</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.050g</li><li>Prüfung ece 22-05Material: ABSInnenfutter: hochwertig - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80456;;Acerbis Junior Black/Blue/Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<ul><li>Visier verstellbar</li><li>Kinnbelüftung</li><li>Verschluss Doppel-D</li><li>Gewicht ca. 1.050 g</li><li>Prüfung ece 22-05Material: ABSInnenfutter: hochwertig - antibakteriell - herausnehm- und waschbar</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80457;;Acerbis Profile Orange;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Profile Orange</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80458;;Acerbis Profile Blue;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Profile Blue</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80459;;Acerbis Profile Black;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Profile Black</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
80460;;Acerbis Timebomb Black/Red;;;;;;;;;;;;;;;;;;;;;;;;;;;"<ul>
     <li> Offroadvisier einstellbar</li>
     <li> Innenleben antibakteriel, abnhem- und waschbar </li>
</ul>";<p><strong>Acerbis Timebomb Black/Red</strong></p><ul><li> Intérieur tout confort : antibactérien, amovible, lavable </li><li> Homologué ece 22-05 </li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
