id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
58737;;Front Number Plate Ktm;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>SX 125 03/06</li><li>SX 200 03/04</li><li>SX 250 03/06</li><li>SX-F 250 06</li><li>SX-F 450 04/06</li><li>SX-F 525 03/06</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58738;;Ersatznummerntafel ;;;;;;;;;;;;;;;;;;;;;;;;;;;Ciclope Und Diamond Weiss;;;;;;;;;;;;;;;;;;;;;;;;;
58739;;Ersatznummerntafel ;;;;;;;;;;;;;;;;;;;;;;;;;;;Ciclope Und Diamond Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
58740;;Ersatznummerntafel ;;;;;;;;;;;;;;;;;;;;;;;;;;;Ciclope Und Diamond Grün;;;;;;;;;;;;;;;;;;;;;;;;;
58741;;Acerbis Front Tank 3 L;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>HEIGHT 270 MM</li><li>WIDTH 240 MM</li><li>DEPTH 80 MM</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58742;;Dhh Lampe Homologiert;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;<ul><li>DHH Scheinwerfer inkl. Befestigungsgummi</li><li>CH-Homologation</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58743;;Dhh Lampe Homologiert;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>DHH Scheinwerfer inkl. Befestigungsgummi</li><li>CH-Homologation</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
58744;;Handschutz Rally Brush Ohne Montagekit;;;;;;;;;;;;;;;;;;;;;;;;;;;Weiss;;;;;;;;;;;;;;;;;;;;;;;;;
58745;;Handschutz Rally Brush Ohne Montagekit;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;;;;;;;;;;;;;;;;;;;;;;;;;
58746;;Diamond Scheinwerfermaske Ohne Mfk;;;;;;;;;;;;;;;;;;;;;;;;;;;Schwarz;<ul><li>Diamond Scheinwerfer futuristisch gestylter Scheinwerfer</li><li>für den Einsatz auf der Strasse und im Gelände</li><li>einfache</li><li>Montage</li><li>ohne MFK</li></ul>;;;;;;;;;;;;;;;;;;;;;;;;
