Product ID*;Product reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
#N/A;;Taille:select:0;34:2;0013799.110.034;0013799.110.034;0013799.111;;;;;0;;;;;;;;;;;
#N/A;;Taille:select:0;36:3;0013799.110.036;0013799.110.036;0013799.112;;;;;0;;;;;;;;;;;
43925;;Taille:select:0;S/M:2;0013811.090.063;0013811.090.063;0013811.090;;;;;0;;;;;;;;;;;
43925;;Taille:select:0;L/XL:4;0013811.090.067;0013811.090.067;0013811.090;;;;;3;;;;;;;;;;;
43929;;Taille:select:0;XL:5;0013902.040.068;0013902.040.068;0013902.040;;;;;0;;;;;;;;;;;
43930;;Taille:select:0;L:4;0013902.090.066;0013902.090.066;0013902.090;;;;;0;;;;;;;;;;;
43930;;Taille:select:0;2XL:6;0013902.090.069;0013902.090.069;0013902.090;;;;;0;;;;;;;;;;;
43931;;Taille:select:0;L:4;0013902.110.066;0013902.110.066;0013902.110;;;;;0;;;;;;;;;;;
43931;;Taille:select:0;XL:5;0013902.110.068;0013902.110.068;0013902.110;;;;;0;;;;;;;;;;;
43932;;Taille:select:0;M:3;0013903.010.064;0013903.010.064;0013903.010;;;;;0;;;;;;;;;;;
43933;;Taille:select:0;M:3;0013903.040.064;0013903.040.064;0013903.040;;;;;0;;;;;;;;;;;
43933;;Taille:select:0;L:4;0013903.040.066;0013903.040.066;0013903.040;;;;;0;;;;;;;;;;;
43933;;Taille:select:0;XL:5;0013903.040.068;0013903.040.068;0013903.040;;;;;0;;;;;;;;;;;
43934;;Taille:select:0;M:3;0013903.060.064;0013903.060.064;0013903.060;;;;;0;;;;;;;;;;;
43934;;Taille:select:0;L:4;0013903.060.066;0013903.060.066;0013903.060;;;;;0;;;;;;;;;;;
43934;;Taille:select:0;XL:5;0013903.060.068;0013903.060.068;0013903.060;;;;;0;;;;;;;;;;;
43934;;Taille:select:0;2XL:6;0013903.060.069;0013903.060.069;0013903.060;;;;;0;;;;;;;;;;;
43935;;Taille:select:0;XL:5;0013903.090.068;0013903.090.068;0013903.090;;;;;0;;;;;;;;;;;
43935;;Taille:select:0;2XL:6;0013903.090.069;0013903.090.069;0013903.090;;;;;0;;;;;;;;;;;
43936;;Taille:select:0;M:3;0013903.110.064;0013903.110.064;0013903.110;;;;;0;;;;;;;;;;;
43936;;Taille:select:0;L:4;0013903.110.066;0013903.110.066;0013903.110;;;;;0;;;;;;;;;;;
43936;;Taille:select:0;XL:5;0013903.110.068;0013903.110.068;0013903.110;;;;;0;;;;;;;;;;;
43936;;Taille:select:0;2XL:6;0013903.110.069;0013903.110.069;0013903.110;;;;;0;;;;;;;;;;;
43938;;Taille:select:0;S/M:2;0013912.030.063;0013912.030.063;0013912.030;;;;;0;;;;;;;;;;;
43938;;Taille:select:0;L/XL:4;0013912.030.067;0013912.030.067;0013912.030;;;;;0;;;;;;;;;;;
43938;;Taille:select:0;2XL:6;0013912.030.069;0013912.030.069;0013912.030;;;;;0;;;;;;;;;;;
43939;;Taille:select:0;64:1;0013934.030.064;0013934.030.064;0013934.030;;;;;0;;;;;;;;;;;
43940;;Taille:select:0;66:1;0013935.311.066;0013935.311.066;0013935.311;;;;;0;;;;;;;;;;;
43942;;Taille:select:0;M:3;0015523.090.064;0015523.090.064;0015523.090;;;;;0;;;;;;;;;;;
43942;;Taille:select:0;L:4;0015523.090.066;0015523.090.066;0015523.090;;;;;1;;;;;;;;;;;
43942;;Taille:select:0;XL:5;0015523.090.068;0015523.090.068;0015523.090;;;;;1;;;;;;;;;;;
43942;;Taille:select:0;2XL:6;0015523.090.069;0015523.090.069;0015523.090;;;;;0;;;;;;;;;;;
43942;;Taille:select:0;3XL:7;0015523.090.070;0015523.090.070;0015523.090;;;;;0;;;;;;;;;;;
43942;;Taille:select:0;4XL:9;0015523.090.076;0015523.090.076;0015523.090;;;;;0;;;;;;;;;;;
43942;;Taille:select:0;5XL:10;0015523.090.077;0015523.090.077;0015523.090;;;;;0;;;;;;;;;;;
43942;;Taille:select:0;6XL:11;0015523.090.078;0015523.090.078;0015523.090;;;;;1;;;;;;;;;;;
43942;;Taille:select:0;7XL:12;0015523.090.079;0015523.090.079;0015523.090;;;;;0;;;;;;;;;;;
43943;;Taille:select:0;30:1;0015527.096.030;0015527.096.030;0015527.090;;;;;2;;;;;;;;;;;
43960;;Taille:select:0;S:2;0015951.090.062;0015951.090.062;0015951.090;;;;;0;;;;;;;;;;;
43960;;Taille:select:0;M:3;0015951.090.064;0015951.090.064;0015951.090;;;;;0;;;;;;;;;;;
43960;;Taille:select:0;L:4;0015951.090.066;0015951.090.066;0015951.090;;;;;0;;;;;;;;;;;
43960;;Taille:select:0;XL:5;0015951.090.068;0015951.090.068;0015951.090;;;;;0;;;;;;;;;;;
43960;;Taille:select:0;2XL:6;0015951.090.069;0015951.090.069;0015951.090;;;;;0;;;;;;;;;;;
43961;;Taille:select:0;28:1;0015952.090.028;0015952.090.028;0015952.090;;;;;0;;;;;;;;;;;
43961;;Taille:select:0;30:2;0015952.090.030;0015952.090.030;0015952.090;;;;;0;;;;;;;;;;;
43961;;Taille:select:0;32:3;0015952.090.032;0015952.090.032;0015952.090;;;;;0;;;;;;;;;;;
43961;;Taille:select:0;34:4;0015952.090.034;0015952.090.034;0015952.090;;;;;0;;;;;;;;;;;
43961;;Taille:select:0;36:5;0015952.090.036;0015952.090.036;0015952.090;;;;;0;;;;;;;;;;;
43961;;Taille:select:0;38:6;0015952.090.038;0015952.090.038;0015952.090;;;;;0;;;;;;;;;;;
43965;;Taille:select:0;S:2;0016011.070.062;0016011.070.062;0016011.070;;;;;0;;;;;;;;;;;
43965;;Taille:select:0;M:3;0016011.070.064;0016011.070.064;0016011.070;;;;;0;;;;;;;;;;;
43965;;Taille:select:0;L:4;0016011.070.066;0016011.070.066;0016011.070;;;;;0;;;;;;;;;;;
43965;;Taille:select:0;XL:5;0016011.070.068;0016011.070.068;0016011.070;;;;;0;;;;;;;;;;;
43965;;Taille:select:0;2XL:6;0016011.070.069;0016011.070.069;0016011.070;;;;;0;;;;;;;;;;;
43966;;Taille:select:0;S:2;0016012.040.062;0016012.040.062;0016012.040;;;;;0;;;;;;;;;;;
43966;;Taille:select:0;M:3;0016012.040.064;0016012.040.064;0016012.040;;;;;0;;;;;;;;;;;
43966;;Taille:select:0;L:4;0016012.040.066;0016012.040.066;0016012.040;;;;;0;;;;;;;;;;;
43966;;Taille:select:0;XL:5;0016012.040.068;0016012.040.068;0016012.040;;;;;0;;;;;;;;;;;
43966;;Taille:select:0;2XL:6;0016012.040.069;0016012.040.069;0016012.040;;;;;0;;;;;;;;;;;
43967;;Taille:select:0;XS:1;0016014.090.061;0016014.090.061;0016014.090;;;;;0;;;;;;;;;;;
43967;;Taille:select:0;S:2;0016014.090.062;0016014.090.062;0016014.090;;;;;0;;;;;;;;;;;
43967;;Taille:select:0;M:3;0016014.090.064;0016014.090.064;0016014.090;;;;;0;;;;;;;;;;;
43967;;Taille:select:0;L:4;0016014.090.066;0016014.090.066;0016014.090;;;;;0;;;;;;;;;;;
43967;;Taille:select:0;XL:5;0016014.090.068;0016014.090.068;0016014.090;;;;;0;;;;;;;;;;;
43968;;Taille:select:0;XS:1;0016015.080.061;0016015.080.061;0016015.080;;;;;0;;;;;;;;;;;
43968;;Taille:select:0;S:2;0016015.080.062;0016015.080.062;0016015.080;;;;;0;;;;;;;;;;;
43968;;Taille:select:0;M:3;0016015.080.064;0016015.080.064;0016015.080;;;;;0;;;;;;;;;;;
43968;;Taille:select:0;L:4;0016015.080.066;0016015.080.066;0016015.080;;;;;0;;;;;;;;;;;
43968;;Taille:select:0;XL:5;0016015.080.068;0016015.080.068;0016015.080;;;;;0;;;;;;;;;;;
43969;;Taille:select:0;XS:1;0016016.130.061;0016016.130.061;0016016.130;;;;;0;;;;;;;;;;;
43969;;Taille:select:0;S:2;0016016.130.062;0016016.130.062;0016016.130;;;;;0;;;;;;;;;;;
43969;;Taille:select:0;M:3;0016016.130.064;0016016.130.064;0016016.130;;;;;0;;;;;;;;;;;
43969;;Taille:select:0;L:4;0016016.130.066;0016016.130.066;0016016.130;;;;;0;;;;;;;;;;;
43969;;Taille:select:0;XL:5;0016016.130.068;0016016.130.068;0016016.130;;;;;0;;;;;;;;;;;
43970;;Taille:select:0;XS:1;0016017.070.061;0016017.070.061;0016017.070;;;;;0;;;;;;;;;;;
43970;;Taille:select:0;S:2;0016017.070.062;0016017.070.062;0016017.070;;;;;0;;;;;;;;;;;
43970;;Taille:select:0;M:3;0016017.070.064;0016017.070.064;0016017.070;;;;;0;;;;;;;;;;;
43970;;Taille:select:0;L:4;0016017.070.066;0016017.070.066;0016017.070;;;;;0;;;;;;;;;;;
43970;;Taille:select:0;XL:5;0016017.070.068;0016017.070.068;0016017.070;;;;;0;;;;;;;;;;;
43971;;Taille:select:0;L/XL:1;0016023.315.067;0016023.315.067;0016023.315;;;;;0;;;;;;;;;;;
43972;;Taille:select:0;S:2;0016025.315.062;0016025.315.062;0016025.315;;;;;0;;;;;;;;;;;
43972;;Taille:select:0;M:3;0016025.315.064;0016025.315.064;0016025.315;;;;;0;;;;;;;;;;;
43972;;Taille:select:0;L:4;0016025.315.066;0016025.315.066;0016025.315;;;;;0;;;;;;;;;;;
43972;;Taille:select:0;XL:5;0016025.315.068;0016025.315.068;0016025.315;;;;;0;;;;;;;;;;;
43972;;Taille:select:0;2XL:6;0016025.315.069;0016025.315.069;0016025.315;;;;;0;;;;;;;;;;;
43975;;Taille:select:0;S:2;0016060.090.062;0016060.090.062;0016060.090;;;;;0;;;;;;;;;;;
43975;;Taille:select:0;M:3;0016060.090.064;0016060.090.064;0016060.090;;;;;0;;;;;;;;;;;
43975;;Taille:select:0;L:4;0016060.090.066;0016060.090.066;0016060.090;;;;;0;;;;;;;;;;;
43975;;Taille:select:0;XL:5;0016060.090.068;0016060.090.068;0016060.090;;;;;0;;;;;;;;;;;
43976;;Taille:select:0;S/M:2;0016063.030.063;0016063.030.063;0016063.030;;;;;0;;;;;;;;;;;
43976;;Taille:select:0;L/XL:4;0016063.030.067;0016063.030.067;0016063.030;;;;;0;;;;;;;;;;;
43976;;Taille:select:0;2XL:6;0016063.030.069;0016063.030.069;0016063.030;;;;;0;;;;;;;;;;;
43978;;Taille:select:0;30:1;0016081.090.030;0016081.090.030;0016081.090;;;;;0;;;;;;;;;;;
43978;;Taille:select:0;32:2;0016081.090.032;0016081.090.032;0016081.090;;;;;0;;;;;;;;;;;
43978;;Taille:select:0;34:3;0016081.090.034;0016081.090.034;0016081.090;;;;;0;;;;;;;;;;;
43978;;Taille:select:0;36:4;0016081.090.036;0016081.090.036;0016081.090;;;;;0;;;;;;;;;;;
43978;;Taille:select:0;38:5;0016081.090.038;0016081.090.038;0016081.090;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;3XS:2;0016399.070.059;0016399.070.059;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;2XS:3;0016399.070.060;0016399.070.060;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;XS:4;0016399.070.061;0016399.070.061;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;S:5;0016399.070.062;0016399.070.062;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;M:6;0016399.070.064;0016399.070.064;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;L:7;0016399.070.066;0016399.070.066;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;XL:8;0016399.070.068;0016399.070.068;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;2XL:9;0016399.070.069;0016399.070.069;0016399.070;;;;;0;;;;;;;;;;;
43979;;Taille:select:0;4XS:10;0016399.070.071;0016399.070.071;0016399.070;;;;;0;;;;;;;;;;;
43983;;Taille:select:0;28:1;0016454.010.028;0016454.010.028;0016454.010;;;;;0;;;;;;;;;;;
43983;;Taille:select:0;30:2;0016454.010.030;0016454.010.030;0016454.010;;;;;0;;;;;;;;;;;
43983;;Taille:select:0;32:3;0016454.010.032;0016454.010.032;0016454.010;;;;;0;;;;;;;;;;;
43983;;Taille:select:0;34:4;0016454.010.034;0016454.010.034;0016454.010;;;;;0;;;;;;;;;;;
43983;;Taille:select:0;36:5;0016454.010.036;0016454.010.036;0016454.010;;;;;0;;;;;;;;;;;
43983;;Taille:select:0;38:6;0016454.010.038;0016454.010.038;0016454.010;;;;;0;;;;;;;;;;;
43984;;Taille:select:0;S:2;0016455.010.062;0016455.010.062;0016455.010;;;;;0;;;;;;;;;;;
43984;;Taille:select:0;M:3;0016455.010.064;0016455.010.064;0016455.010;;;;;0;;;;;;;;;;;
43984;;Taille:select:0;L:4;0016455.010.066;0016455.010.066;0016455.010;;;;;0;;;;;;;;;;;
43984;;Taille:select:0;XL:5;0016455.010.068;0016455.010.068;0016455.010;;;;;0;;;;;;;;;;;
43984;;Taille:select:0;2XL:6;0016455.010.069;0016455.010.069;0016455.010;;;;;0;;;;;;;;;;;
43986;;Taille:select:0;S:2;0016469.090.062;0016469.090.062;0016469.090;;;;;1;;;;;;;;;;;
43986;;Taille:select:0;M:3;0016469.090.064;0016469.090.064;0016469.090;;;;;2;;;;;;;;;;;
43986;;Taille:select:0;L:4;0016469.090.066;0016469.090.066;0016469.090;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;3XS:2;0016639.042.059;0016639.042.059;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;2XS:3;0016639.042.060;0016639.042.060;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;XS:4;0016639.042.061;0016639.042.061;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;S:5;0016639.042.062;0016639.042.062;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;M:6;0016639.042.064;0016639.042.064;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;L:7;0016639.042.066;0016639.042.066;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;XL:8;0016639.042.068;0016639.042.068;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;2XL:9;0016639.042.069;0016639.042.069;0016639.042;;;;;0;;;;;;;;;;;
43994;;Taille:select:0;4XS:1;0016639.042.071;0016639.042.071;0016639.042;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;3XS:2;0016639.090.059;0016639.090.059;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;2XS:3;0016639.090.060;0016639.090.060;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;XS:4;0016639.090.061;0016639.090.061;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;S:5;0016639.090.062;0016639.090.062;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;M:6;0016639.090.064;0016639.090.064;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;L:7;0016639.090.066;0016639.090.066;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;XL:8;0016639.090.068;0016639.090.068;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;2XL:9;0016639.090.069;0016639.090.069;0016639.090;;;;;0;;;;;;;;;;;
43995;;Taille:select:0;4XS:1;0016639.090.071;0016639.090.071;0016639.090;;;;;0;;;;;;;;;;;
43996;;Taille:select:0;M:3;0016779.010.064;0016779.010.064;0016779.010;;;;;1;;;;;;;;;;;
43996;;Taille:select:0;2XL:6;0016779.010.069;0016779.010.069;0016779.010;;;;;1;;;;;;;;;;;
43997;;Taille:select:0;S:2;0016779.030.062;0016779.030.062;0016779.030;;;;;0;;;;;;;;;;;
43997;;Taille:select:0;M:3;0016779.030.064;0016779.030.064;0016779.030;;;;;0;;;;;;;;;;;
43997;;Taille:select:0;L:4;0016779.030.066;0016779.030.066;0016779.030;;;;;0;;;;;;;;;;;
43997;;Taille:select:0;XL:5;0016779.030.068;0016779.030.068;0016779.030;;;;;0;;;;;;;;;;;
43997;;Taille:select:0;2XL:6;0016779.030.069;0016779.030.069;0016779.030;;;;;0;;;;;;;;;;;
43998;;Taille:select:0;S:2;0016779.040.062;0016779.040.062;0016779.040;;;;;1;;;;;;;;;;;
43999;;Taille:select:0;S:2;0016779.060.062;0016779.060.062;0016779.060;;;;;0;;;;;;;;;;;
43999;;Taille:select:0;M:3;0016779.060.064;0016779.060.064;0016779.060;;;;;0;;;;;;;;;;;
43999;;Taille:select:0;L:4;0016779.060.066;0016779.060.066;0016779.060;;;;;0;;;;;;;;;;;
43999;;Taille:select:0;XL:5;0016779.060.068;0016779.060.068;0016779.060;;;;;0;;;;;;;;;;;
43999;;Taille:select:0;2XL:6;0016779.060.069;0016779.060.069;0016779.060;;;;;0;;;;;;;;;;;
