ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;;;;Weight;Quantity;;;;;Short description;;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out_of_stock;Advanced stock management;ID / Name of shop\'c2\'a0\;;;Car type casque;Car couleur;Car Ecran;Car public;Car Coque;Car Etancheite;Car Goretex;Att Taille;Att Couleur;Car HighTech (ou sous cat)
10721;;BLAZE® Satteltaschen Abstandsbügel;288;105.00;;;;;;;;D9390-532-03;D9390-532-03;SW-MOTECH;SW-MOTECH;4052572024782;;;;;;1,3200;1;;;;;Suzuki GSR 750 (11-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10722;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-507-03;D9390-507-03;SW-MOTECH;SW-MOTECH;4052572024799;;;;;;1,5500;1;;;;;Yamaha YZF-R1 (09-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10723;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-508-03;D9390-508-03;SW-MOTECH;SW-MOTECH;4052572024805;;;;;;1,3500;1;;;;;Yamaha FZ6N (06-10).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10724;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-509-03;D9390-509-03;SW-MOTECH;SW-MOTECH;4052572024812;;;;;;1,2000;1;;;;;Yamaha FZ1 / FZ1 Fazer / FZ8 / FZ8 Fazer.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10725;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-534-03;D9390-534-03;SW-MOTECH;SW-MOTECH;4052572024829;;;;;;1,2000;1;;;;;Yamaha YZF-R6 (08-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10726;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-520-03;D9390-520-03;SW-MOTECH;SW-MOTECH;4052572024836;;;;;;1,5000;1;;;;;Yamaha XJ6 / XJ6 Diversion / XJ6 Diversion F.;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10727;;BLAZE® Satteltaschen Abstandsbügel;288;117.00;;;;;;;;D9390-521-03;D9390-521-03;SW-MOTECH;SW-MOTECH;4052572024607;;;;;;1,3500;1;;;;;Yamaha YZF-R1 (07-08).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10728;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-550-03;D9390-550-03;SW-MOTECH;SW-MOTECH;4052572027097;;;;;;1,5000;1;;;;;Yamaha MT-09 (13-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10729;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-510-03;D9390-510-03;SW-MOTECH;SW-MOTECH;4052572024843;;;;;;1,3700;1;;;;;BMW S 1000 RR (10-11).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><!--BL--><ul><li>Komplettes Anbauset <b>ohne</b> BLAZE® Satteltaschen.</li></ul><!--EL-->;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10730;;BLAZE® Satteltaschen Abstandsbügel;288;94.00;;;;;;;;D9390-522-03;D9390-522-03;SW-MOTECH;SW-MOTECH;4052572024850;;;;;;1,2500;1;;;;;BMW R 1200 R (11-).;;<b>Abstandsbügel für BLAZE® Satteltaschen</b><br><br><b>Lieferumfang:</b><br>Komplettes Anbauset <i><b>ohne</b></i> BLAZE® Satteltaschen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
